주요내용,주요내용_정제,지역,원본행,세부사업명,판정,판정근거
목적 :  청년창업기업 육성 및 창업분위기 확산 대상 :  도내 청년 주요내용 :  우수창업기업에 맞춤형 지원 제공 전달체계 :  충청북도 → 충청북도기업진흥원,목적 : 청년창업기업 육성 및 창업분위기 확산 대상 : 도내 청년 주요내용 : 우수창업기업에 맞춤형 지원 제공 전달체계 : 충청북도 → 충청북도기업진흥원,충북,5618,청년창업 우수기업 발굴 육성,공백 정리,공백 제거 후 문자열 동일
목적 :  청년창업기업 육성 및 창업분위기 확산 대상 :  도내 청년 주요내용 :  예비･초기창업팀 창의적 아이템 발굴 전달체계 :  충청북도 → 충청북도기업진흥원,목적 : 청년창업기업 육성 및 창업분위기 확산 대상 : 도내 청년 주요내용 : 예비･초기창업팀 창의적 아이템 발굴 전달체계 : 충청북도 → 충청북도기업진흥원,충북,5619,청년아이템 발굴 경진대회,공백 정리,공백 제거 후 문자열 동일
목적 :  재직 청년들의 역량 강화를 통한 조기정착 및 장기근속 유도 대상 :  중소기업 재직 청년 주요내용 :  취업청년 역량강화 교육 등 전달체계 :  충청북도 → (재)충청북도기업진흥원,목적 : 재직 청년들의 역량 강화를 통한 조기정착 및 장기근속 유도 대상 : 중소기업 재직 청년 주요내용 : 취업청년 역량강화 교육 등 전달체계 : 충청북도 → (재)충청북도기업진흥원,충북,5620,사회초년생 레벨업 지원,공백 정리,공백 제거 후 문자열 동일
목적 :  청년 취업역량강화 대학 프로그램운영 대상 :  도내 소재 대학 주요내용 :  대학별 자율적인 프로그램 운영 전달체계 :  충청북도 → 충청북도기업진흥원,목적 : 청년 취업역량강화 대학 프로그램운영 대상 : 도내 소재 대학 주요내용 : 대학별 자율적 프로그램 운영 전달체계 : 충청북도 → 충청북도기업진흥원,충북,5621,청년 취업역량강화 사업,원문 유지,'자율적인'을 '자율적'으로 문체 변경
목적 :  청년들에게 맞춤형 멘토링을 통한 선배들의 노하우 제공 대상 :  도내 청년 주요내용 :  재직자-구직자와의 멘토링을 통한 다양한 분야의 노하우 제공 전달체계 :  충청북도 → (재)충청북도기업진흥원,목적 : 청년들에게 맞춤형 멘토링을 통한 선배들의 노하우 제공 대상 : 도내 청년 주요내용 : 재직자-구직자와의 멘토링을 통한 다양한 분야의 노하우 제공 전달체계 : 충청북도 → (재)충청북도기업진흥원,충북,5622,사람책대여 프로그램,공백 정리,공백 제거 후 문자열 동일
목적 :  청년일자리 창출에 성과가 있는 우수기업에 고용환경개선지원으로 양질의 청년일자리 창출 및 중소기업 이미지 제고 대상 :  청년일자리 창출 실적 우수한 중소기업 주요내용 :  청년고용 우수기업 선정 지원을 통한 도내 청년일자리 확대 기여10개기업 전달체계 :  충청북도 → 충청북도기업진흥원,목적 : 청년일자리 창출에 성과가 있는 우수기업에 고용환경개선지원으로 양질의 청년일자리 창출 및 중소기업 이미지 제고 대상 : 청년일자리 창출 실적 우수한 중소기업 주요내용 : 청년고용 우수기업 선정 지원을 통한 도내 청년일자리 확대 기여10개기업 전달체계 : 충청북도 → 충청북도기업진흥원,충북,5628,청년일자리 우수기업 지원사업,공백 정리,공백 제거 후 문자열 동일
목적 :  대학 내 취업창업 지원 기능 강화로 청년에게 원스톱 고용서비스 제공 대상 :  도내 소재 대학 주요내용 :  대학별 특성화 진로 프로그램 추진 등 전달체계 :  충청북도 → 선정 대학,목적 : 대학 내 취업창업 지원 기능 강화로 청년에게 원스톱 고용서비스 제공 대상 : 도내 소재 대학 주요내용 : 대학별 특성화 진로 프로그램 추진 등 전달체계 : 충청북도 → 선정 대학,충북,5629,대학일자리센터 운영 지원,공백 정리,공백 제거 후 문자열 동일
"목적 :  청년의 정책참여 확대 대상 :  도내 청년 주요내용 :  청년정책모니터링, 조사연구, 집단토론 전달체계 :  충청북도 → 충청북도기업진흥원","목적 : 청년의 정책참여 확대 대상 : 도내 청년 주요내용 : 청년정책모니터링, 조사연구, 집단토론 전달체계 : 충청북도 → 충청북도기업진흥원",충북,5630,청년공동체 활성화 사업,공백 정리,공백 제거 후 문자열 동일
"목적 :  청년의 정책참여 확대 대상 :  도내 청년 주요내용 :  청년정책모니터링, 조사연구, 집단토론 전달체계 :  충청북도 → 충청북도기업진흥원","목적 : 청년의 정책참여 확대 대상 : 도내 청년 주요내용 : 청년정책모니터링, 조사연구, 집단토론 전달체계 : 충청북도 → 충청북도기업진흥원",충북,5631,제7기 충북청년광장,공백 정리,공백 제거 후 문자열 동일
목적 :  청년 활동지원 복합공간 제공 대상 :  도내 청년 주요내용 :  청년의 다양한 활동지원 및 교류 활성화 전달체계 :  충청북도 → 충청북도기업진흥원,목적 : 청년 활동지원 복합공간 제공 대상 : 도내 청년 주요내용 : 청년의 다양한 활동지원 및 교류 활성화 전달체계 : 충청북도 → 충청북도기업진흥원,충북,5632,충북청년희망센터 운영,공백 정리,공백 제거 후 문자열 동일
목적 :  청년활동의 저변 확대 대상 :  도내 청년 주요내용 :  다양한 분야에서 청년의 참여활동 지원 전달체계 :  충청북도 → 충청북도기업진흥원,목적 : 청년활동의 저변 확대 대상 : 도내 청년 주요내용 : 다양한 분야에서 청년의 참여활동 지원 전달체계 : 충청북도 → 충청북도기업진흥원,충북,5633,청년 커뮤니티 지원,공백 정리,공백 제거 후 문자열 동일
목적 :  청년의 정책참여 확대 대상 :  도내 청년 주요내용 :  위촉직 위원의 7% 이상 청년위원 위촉 전달체계 :  충청북도,목적 : 청년의 정책참여 확대 대상 : 도내 청년 주요내용 : 위촉직 위원의 7% 이상 청년위원 위촉 전달체계 : 충청북도,충북,5634,정책과정에 청년 참여 확대,공백 정리,공백 제거 후 문자열 동일
목적 :  대학생 장학금 지원을 통한 교육복지 증진 대상 :  도내 청년 주요내용 :  성적 등 분야별 대학생 장학금 지급 전달체계 :  충북인재양성재단,목적 : 대학생 장학금 지원을 통한 교육복지 증진 대상 : 도내 청년 주요내용 : 성적 등 분야별 대학생 장학금 지급 전달체계 : 충북인재양성재단,충북,5635,대학생 장학금 지원,공백 정리,공백 제거 후 문자열 동일
목적 :  대학생들의 재능을 지역사회 나눔 대상 :  도내 청년 주요내용 :  대학생 재능나눔 활동 지원 전달체계 :  충북인재양성재단,목적 : 대학생들의 재능을 지역사회 나눔 대상 : 도내 청년 주요내용 : 대학생 재능나눔 활동 지원 전달체계 : 충북인재양성재단,충북,5636,대학생 재능나눔,공백 정리,공백 제거 후 문자열 동일
"목적 :  초･중･고･특수학교 무상급식비 지원을 통한 학부모 교육비 부담 완화, 차별없는 교육환경 조성 대상 :  도내 초･중･고･특수학교 학생 167,685명(’21.6 학생배치기준) (사업기간) 2022.1월~2022.12월(185일, 중식 제공) (사업비) - (사 업 비) 79,760,092천원(식품비) - 도 24,151,256천원, 시군 36,226,883천원, 교육청 19,381,953천원","목적 : 초･중･고･특수학교 무상급식비 지원을 통한 학부모 교육비 부담 완화, 차별없는 교육환경 조성 대상 : 도내 초･중･고･특수학교 학생 167,685명(’21.6 학생배치기준) (사업기간) 2022.1월~2022.12월(185일, 중식 제공) (사업비) - (사업비) 79,760,092천원(식품비) - 도 24,151,256천원, 시군 36,226,883천원, 교육청 19,381,953천원",충북,5637,초중고특수학교 무상급식 지원,공백 정리,공백 제거 후 문자열 동일
지원대상 : 도내 평생교육사 지원내용 : 청년 평생교육사 대상 모니터링단 구축으로 커리아 개발등을 위한 정보제공 프로그램 지원 운영,지원대상 : 도내 평생교육사 지원내용 : 청년 평생교육사 대상 모니터링단 구축으로 커리어 개발등을 위한 정보제공 프로그램 지원 운영,충북,5643,평생교육사 모니터링단 운영,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
지원대상 : 드론 방제단 희망 청년농업인 지원내용 : 농업용 드론 전문인력 양성을 위한 드론 실무 및 자격증 취득 프로그램 운영 지원,지원대상: 드론 방제단 희망 청년농업인 지원내용: 농업용 드론 전문인력 양성을 위한 드론 실무 및 자격증 취득 프로그램 운영 지원,충북,5644,4차 산업혁명 미래인재 인큐베이팅 과정,공백 정리,공백 제거 후 문자열 동일
"목적 :  대학생들에게 학자금 이자지원을 통해 경제적 부담 경감 대상 :  대학생, 휴학생, 졸업후2년이내 미취업자 주요내용 :  학자금 대출에 따른 발생이자 지원 전달체계 :  충청북도 → (재)충북인재양성재단","목적 : 대학생들에게 학자금 이자지원을 통해 경제적 부담 경감 대상 : 대학생, 휴학생, 졸업후2년이내 미취업자 주요내용 : 학자금 대출에 따른 발생이자 지원 전달체계 : 충청북도 → (재)충북인재양성재단",충북,5646,대학생 학자금 이자 지원,공백 정리,공백 제거 후 문자열 동일
목적 :  학자금 대출이자 지원만으로는 신용유의정보 등록자 구제 한계로 초입금 지원으로 경제적 자립기반 마련 대상 :  한국장학재단의 학자금대출 부실채무자로 신용유의정보에 등록된 자 주요내용 :  대출상환 약정 체결 시 초입금(5%) 지원 전달체계 :  충청북도 → (재)충북인재양성재단,목적 : 학자금 대출이자 지원만으로는 신용유의정보 등록자 구제 한계로 초입금 지원으로 경제적 자립기반 마련 대상 : 한국장학재단의 학자금대출 부실채무자로 신용유의정보에 등록된 자 주요내용 : 대출상환 약정 체결 시 초입금(5%) 지원 전달체계 : 충청북도 → (재)충북인재양성재단,충북,5647,청년 학자금 대출 부실채무자 신용회복 지원,공백 정리,공백 제거 후 문자열 동일
"목적 :  향토인재 양성을 위한 장학시설(기숙시설)의 관리･운영 대상 :  대학교 신입생, 재학생 주요내용 :  충북학사 운영비 지원 전달체계 :  충청북도 → (재)충북학사","목적 : 향토인재 양성을 위한 장학시설(기숙시설)의 관리･운영 대상 : 대학교 신입생, 재학생 주요내용 : 충북학사 운영비 지원 전달체계 : 충청북도 → (재)충북학사",충북,5648,대학생 주거 지원 (충북학사 운영지원),공백 정리,공백 제거 후 문자열 동일
"노인들의 취미생활, 건강유지, 친목도모 등을 위해 프로그렘 제공","노인들의 취미생활, 건강유지, 친목도모 등을 위해 프로그램 제공",충북,5658,노인대학 지원,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
중장년층의 제 2의 인생 설계에 필요한 생애주기별 맞춤형 교육,중장년층의 제2의 인생 설계에 필요한 생애주기별 맞춤형 교육,충북,5659,충주인생디자인학교 운영,공백 정리,공백 제거 후 문자열 동일
민법상 성인(만 19세)으로서 중･고졸 검정고시를 합격한 음성군민에게 장학금 지급,민법상 성인(만 19세)으로서 중·고졸 검정고시를 합격한 음성군민에게 장학금 지급,충북,5728,(재)음성군장학회 군민평생장학금 지원,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
"목적 : 인구문제의 심각성에 대한 공감대 형성 도민 참여분이기 확산 사업내용 순회인구교육 : 연중 85회 6,000명, 인구감소의 심각성, 출산장려 교육 인구의 날 기념 및 문화행사 : 7월 / 예술의 전당(예정) / 300명, 기념식 및 공연, 홍보부스 운영 등 ※ 인구의날 7.11 임산부를 위한 힐링EQ 콘서트 : 10월 / 예술의 전당(예정)/ 300명, 특강, 콘서트 등 ※ 임산부의날 10.10, 인구문제 대응 시･군 릴레이 캠페인 : 5~10월 / 시.군 지역축제장 / 11회","목적 : 인구문제의 심각성에 대한 공감대 형성 도민 참여분위기 확산 사업내용 순회인구교육 : 연중 85회 6,000명, 인구감소의 심각성, 출산장려 교육 인구의 날 기념 및 문화행사 : 7월 / 예술의 전당(예정) / 300명, 기념식 및 공연, 홍보부스 운영 등 ※ 인구의날 7.11 임산부를 위한 힐링EQ 콘서트 : 10월 / 예술의 전당(예정)/ 300명, 특강, 콘서트 등 ※ 임산부의날 10.10, 인구문제 대응 시･군 릴레이 캠페인 : 5~10월 / 시.군 지역축제장 / 11회",충북,5747,인구문제 대응 도민인식개선 사업 지원,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
"이통장, 시민, 중･고등학교, 유치원 대상 맞춤형 인구교육 추진 사이버 인구교육으로 공직자 교육","이통장, 시민, 중·고등학교, 유치원 대상 맞춤형 인구교육 추진 사이버 인구교육으로 공직자 교육",충북,5748,찾아가는 맞춤형 인구교육,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
어린이집 이용 보육료 및 기본보육료등 지원,어린이집 이용 보육료 및 기본보육료 등 지원,충남,5808,영유아보육료,공백 정리,공백 제거 후 문자열 동일
"어르신들이 활기차고 건강한 노후생활을 영위 할 수 있도록 다양한 일자리, 사회활동을 지원하여 노인복지 향상에 기여","어르신들이 활기차고 건강한 노후생활을 영위할 수 있도록 다양한 일자리, 사회활동을 지원하여 노인복지 향상에 기여",충남,5936,노인일자리 및 사회활동지원사업,공백 정리,공백 제거 후 문자열 동일
"지원대상 : 지역아동센터 236게소 지원내용 : 토요운영 추가 지원, 운영･사업비 및 급식인력 지원","지원대상 : 지역아동센터 236개소 지원내용 : 토요운영 추가 지원, 운영･사업비 및 급식인력 지원",충남,6026,지역아동센터 지원(포괄),명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
첫째30만원 둘째50만원 셋째아 이상 100만원 지원,첫째 30만원 둘째 50만원 셋째아 이상 100만원 지원,충남,6041,출생축하금 지원,공백 정리,공백 제거 후 문자열 동일
"첫째 1,000천원, 둘째 3,000천원, 셋째 5,000천원, 넷째15,000천원, 다섯째 이상 30,000천원","첫째 1,000천원, 둘째 3,000천원, 셋째 5,000천원, 넷째 15,000천원, 다섯째 이상 30,000천원",충남,6072,출산양육지원금,공백 정리,공백 제거 후 문자열 동일
장애인가정 출산 지원금 지원(아산시 거주 6개월 이상),장애인가정 출산지원금 지원(아산시 거주 6개월 이상),충남,6092,장애인가정 출산지원금 지원,공백 정리,공백 제거 후 문자열 동일
다자녀 가정의 교육비 부담 완화를 위하여 관내 주민등록 둔 다자녀 셋째이상 자녀에게 1인당 10만원 입학축하금 지금,다자녀 가정의 교육비 부담 완화를 위하여 관내 주민등록 둔 다자녀 셋째이상 자녀에게 1인당 10만원 입학축하금 지급,충남,6128,다자녀 입학 축하금 지원,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
출생순서에 따라 출산장려급 지원,출생순서에 따라 출산장려금 지원,충남,6168,출산장려금 지급,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
"관내 출생아에게 탄생축하카드 제공 및 홍주새마을 금고에서 둘째아 이상 출생아에게 1인당30,000원 적립통장 개설 홍보","관내 출생아에게 탄생축하카드 제공 및 홍주새마을 금고에서 둘째아 이상 출생아에게 1인당 30,000원 적립통장 개설 홍보",충남,6206,탄생축하 서비스,공백 정리,공백 제거 후 문자열 동일
유아 어린이 대상 구강질환 예방 서비스 및 체험형 교육으로 구강건강관리 강화,유아･어린이 대상 구강질환 예방 서비스 및 체험형 교육으로 구강건강관리 강화,충남,6229,유아･어린이 구강보건 사업,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
거동불편 재가노인을 위하여 이동세탁차량을 이용 가정에 정기적 방문 이불. 의류 등 세탁서비스 제공,거동불편 재가노인을 위하여 이동세탁차량을 이용 가정에 정기적 방문 이불 의류 등 세탁서비스 제공,충남,6277,이동빨래차 운영지원,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
노인여가활동 및 각 종 행사지원,노인여가활동 및 각종 행사지원,충남,6351,노인여가활동 및 각종 행사지원,공백 정리,공백 제거 후 문자열 동일
청년 - 기업간 상호 교류 활성화를 통한 일자리 미스매치 해소,청년-기업간 상호 교류 활성화를 통한 일자리 미스매치 해소,충남,6369,충남 희망이음 프로젝트,공백 정리,공백 제거 후 문자열 동일
"목적 :  도내 청년중심 거버넌스 구축으로 청년 당사자 중심의 정책개발과 청년간 소통망 조성을 통한 청년문제 해결 지원 대상 :  네트워크 118명 주요내용 :  정책연구 분과위 구성 및 활동, 정책발굴 등","목적 : 도내 청년중심 거버넌스 구축으로 청년 당사자 중심의 정책개발과 청년간 소통망 조성을 통한 청년문제 해결 지원 대상 : 네트워크 118명 주요내용 : 정책연구 분과위 구성 및 활동, 정책발굴 등",충남,6377,충남청년네트워크 구성･운영,공백 정리,공백 제거 후 문자열 동일
목적 :  청년이 직접 기획하고 만든 행사로 청년의 기획력 및 주도성 강화 주요내용 :  청년네트워크 위원들의 의견을 수렴하여 청년이 만드는 청년의날 행사운영,목적 : 청년이 직접 기획하고 만든 행사로 청년의 기획력 및 주도성 강화 주요내용 : 청년네트워크 위원들의 의견을 수렴하여 청년이 만드는 청년의날 행사운영,충남,6378,충남청년의 날,공백 정리,공백 제거 후 문자열 동일
청년들의 창업의 꿈을 이룰수 있는 공간 제공,청년들의 창업의 꿈을 이룰 수 있는 공간 제공,충남,6392,청년몰 조성사업 청년 일자리 창출,공백 정리,공백 제거 후 문자열 동일
"평생교육에 소외된 마을 대상 찾아가는 성인문해교육, 교양강좌, 안전교육 프로그램 제공",평생교육소외마을대상찾아가는성인문해교육교양강좌안전교육프로그램제공,충남,6455,모두다 마을학교 사업,원문 유지,조사와 목록 구분자를 삭제하고 문장을 압축함
관내 중．고．대학생에게 생활지원 지급,관내 중·고·대학생에게 생활지원 지급,충남,6457,(재)예산사랑장학회 장학생 선발 및 지원,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
관내 중･고･대학생에게 장학금 지원 등,관내 중·고·대학생에게 장학금 지원 등,충남,6470,태안군사랑장학회,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
"한부모가정 중,고 신입생 교복 구입비 지원",한부모가정 중·고 신입생 교복 구입비 지원,충남,6494,"한부모가정 중학생, 고등학생 교복 지원",명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
출생축하 카드 및 기본증명서 발급 서비스,출생축하카드 및 기본증명서 발급 서비스,충남,6500,출생축하카드 및 기본증명서 무료발급,공백 정리,공백 제거 후 문자열 동일
지원대상 : 기준중위소득 180%이하의 고위함 임신질환으로 진단 받고 입원치료 받은 임산부 지원내용 : 대표적 고위험 임신질환으로 입원치료받은 자의 입원치료비 중 비급여 본인부담금 90%지원,지원대상 : 기준중위소득 180%이하의 고위험 임신질환으로 진단 받고 입원치료 받은 임산부 지원내용 : 대표적 고위험 임신질환으로 입원치료받은 자의 입원치료비 중 비급여 본인부담금 90%지원,전북,6570,고위험임산부 의료비 지원,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
"종사자 특별수당(5년 미만 120천원, 5년이상 150천원), 명절수당(연400천원) 지원","종사자 특별수당(5년 미만 120천원, 5년 이상 150천원), 명절수당(연 400천원) 지원",전북,6655,지역아동센터 종사자 수당 지원,공백 정리,공백 제거 후 문자열 동일
365알 24시간 연중무휴 시간제 보육운영으로 야간 및 휴일등 보육서비스 제공,365일 24시간 연중무휴 시간제 보육운영으로 야간 및 휴일등 보육서비스 제공,전북,6700,365일 24시간 시간제 보육 운영,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
영아출생일1년전부터김제시에주소를두고거주하는 출산가정의 부또는 모에게 출생순위별 출산장려금지원,영아출생일 1년 전부터 김제시에 주소를 두고 거주하는 출산가정의 부 또는 모에게 출생순위별 출산장려금 지원,전북,6742,출산장려금 지원,공백 정리,공백 제거 후 문자열 동일
김제시에주민등록을두고거주하는 임신30주이상~분만1개월이하 가정의 부또는 모에게육아용품과지역상품권 혼합지원,김제시에 주민등록을 두고 거주하는 임신 30주 이상~분만 1개월 이하 가정의 부 또는 모에게 육아용품과 지역상품권 혼합지원,전북,6744,출산축하용품 지원,공백 정리,공백 제거 후 문자열 동일
넷쨰아 이상 출산가정 출생용품비 400만원(4년간 4회 분할) 지원,넷째아 이상 출산가정 출생용품비 400만원(4년간 4회 분할) 지원,전북,6774,넷째아 이상 출생용품비 지원,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
"예비, 신혼부부 건강검진 지원으로 건강한 가족문화 조성지원",예비 신혼부부 건강검진 지원으로 건강한 가족문화 조성지원,전북,6781,예비 신혼부부 건강검진,원문 유지,"'예비, 신혼부부'의 쉼표 삭제로 대상 구분 여부가 불명확"
산모신생아 건강관리 서비스 본인부담금 지원,산모신생아건강관리 서비스 이용료 지원,전북,6826,산모신생아건강관리 서비스 이용료 지원,원문 유지,'본인부담금'을 사업명 표현인 '이용료'로 치환
출생일 기준 1년전부터 고창군에 주소를 두고 거준한 산모와 고창군에 출생신고한 신생아 - 서비스기준 표준형범위 내의 본인부담금의 90%이내 지원,출생일 기준 1년전부터 고창군에 주소를 두고 거주한 산모와 고창군에 출생신고한 신생아 - 서비스기준 표준형범위 내의 본인부담금의 90%이내 지원,전북,6829,산모신생아 건강관리 본인부담금 지원,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
노인복지 시설종사자의 사기진작을 위해 체육대회및 행사지원,노인복지 시설종사자의 사기진작을 위해 체육대회 및 행사지원,전북,6871,전북 노인복지협회 행사지원,공백 정리,공백 제거 후 문자열 동일
전라북도 노인복지관 운영비비 및 사업비,전라북도 노인복지관 운영비 및 사업비,전북,6933,전라북도 노인복지관 민간위탁 운영지원,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
공무원시험준비생 110명에 대한 전문적인 강의 와 관리형독서실 지원,공무원시험준비생 110명에 대한 전문적인 강의와 관리형독서실 지원,전북,6969,공무원시험준비반 운영,공백 정리,공백 제거 후 문자열 동일
"공기관 및 기업 현직자 취업노하우 공유, 기관탐방 등","공공기관 및 기업 현직자 취업노하우 공유, 기관탐방 등",전북,6988,공공기관 대학생 잡 멘토링,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
목적 :  구직에 어려움을 느끼는 청년들을 위해 구직 활동에 도움마련 대상 :  익산에 거주하는 미취업 청년 기준중위소득 120%초과~150% 이하인 만18~39세 이하 또는 기준중위소득 150%이하인 만35~39세 이하 주요내용 :  미취업 청년에게 구직활동과 관련된 비용 지급,목적 : 구직에 어려움을 느끼는 청년들을 위해 구직 활동에 도움마련 대상 : 익산에 거주하는 미취업 청년 기준중위소득 120%초과~150% 이하인 만18~39세 이하 또는 기준중위소득 150%이하인 만35~39세 이하 주요내용 : 미취업 청년에게 구직활동과 관련된 비용 지급,전북,7004,청년취업 드림카드 지원,공백 정리,공백 제거 후 문자열 동일
"목적 :  청년에게 안정적인 주거 생활 지원 대상 :  익산시 거주(예정) 만19~39세 이하의 무주택 청년, 신혼부부 주요내용 :  주택임차보증금 대출 추천 및 이자 3.0% 지원","목적 : 청년에게 안정적인 주거 생활 지원 대상 : 익산시 거주(예정) 만19~39세 이하의 무주택 청년, 신혼부부 주요내용 : 주택임차보증금 대출 추천 및 이자 3.0% 지원",전북,7005,청년 주택임차보증금 대출이자지원,공백 정리,공백 제거 후 문자열 동일
목적 :  관내 공공기관에서의 직무체험을 통하여 업무역량 강화 대상 :  관내 1년 이상 주민등록이 되어있는 대학 재학생 및 휴학생 주요내용 :  방학기간을 활용한 행정체혐 연수,목적 : 관내 공공기관에서의 직무체험을 통하여 업무역량 강화 대상 : 관내 1년 이상 주민등록이 되어있는 대학 재학생 및 휴학생 주요내용 : 방학기간을 활용한 행정체험 연수,전북,7006,대학생 행정연수,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
목적 :  관내 공공기관 및 기관･단체에서의 직무체험을 통하여 진로탐색의 기회 제공 대상 :  익산시에 주민등록이 되어있는 대학 재학생 및 휴학생 주요내용 :  방학기간을 활용한 관내 공공기관 등 인턴체험 활동,목적 : 관내 공공기관 및 기관･단체에서의 직무체험을 통하여 진로탐색의 기회 제공 대상 : 익산시에 주민등록이 되어있는 대학 재학생 및 휴학생 주요내용 : 방학기간을 활용한 관내 공공기관 등 인턴체험 활동,전북,7007,대학생 단기인턴,공백 정리,공백 제거 후 문자열 동일
"목적 :  청년(예비)창업자들의 안정적인 창업활동 준비를 위한 교육 지원 대상 :  익산에 거주하는 만18~39세 이하 (예비)창업자 주요내용 :  창업관련 교육(세무, 노무, 크라우드 펀딩 등) 및 멘토링","목적 : 청년(예비)창업자들의 안정적인 창업활동 준비를 위한 교육 지원 대상 : 익산에 거주하는 만18~39세 이하 (예비)창업자 주요내용 : 창업관련 교육(세무, 노무, 크라우드 펀딩 등) 및 멘토링",전북,7008,청년창업아카데미,공백 정리,공백 제거 후 문자열 동일
목적 :  청년(예비)창업가를 대상으로 차량을 이용한 업종을 창업 할 경우 차량 구입 지원을 통해 비용 부담 완화 대상 :  익산에 거주하는 만18~39세 이하 (예비)창업자 주요내용 :  차량 구입비 50%지원(최대 1천만원),목적 : 청년(예비)창업가를 대상으로 차량을 이용한 업종을 창업 할 경우 차량 구입 지원을 통해 비용 부담 완화 대상 : 익산에 거주하는 만18~39세 이하 (예비)창업자 주요내용 : 차량 구입비 50%지원(최대 1천만원),전북,7009,청년창업 드림카 구입 지원,공백 정리,공백 제거 후 문자열 동일
목적 :  청년들의 창업 인프라 구축 지원을 통해 청년창업을 활성화시키고 청년일자리 창출 및 창업으로 인한 자립기반 강화 대상 :  익산에 거주하는 만18~39세 이하 (예비)창업자 주요내용 :  시설비 및 임차료 지원 시설비 : 시설비의 50% 지원(팀당 2천만원 한도) 임차료 : 팀당 5십만원/ 월 한도내(연 6백만원)에서 1년간 지원 전달체계 :  시군 → 청년,목적 : 청년들의 창업 인프라 구축 지원을 통해 청년창업을 활성화시키고 청년일자리 창출 및 창업으로 인한 자립기반 강화 대상 : 익산에 거주하는 만18~39세 이하 (예비)창업자 주요내용 : 시설비 및 임차료 지원 시설비 : 시설비의 50% 지원(팀당 2천만원 한도) 임차료 : 팀당 5십만원/ 월 한도내(연 6백만원)에서 1년간 지원 전달체계 : 시군 → 청년,전북,7010,청년(예비)창업자 인프라 구축지원,공백 정리,공백 제거 후 문자열 동일
"목적 :  관내 중소기업에 취업한 청년들의 안정적인 보수로 지역정착 도모 대상 :  익산에 거주하는 만18세 ~ 39세 청년 중 관내 중소기업 동일 사업장에서 1년 이상 근무한 청년 주요내용 :  월 30만원씩 3년간 지급(1인당 최대 1,080만원)","목적 : 관내 중소기업에 취업한 청년들의 안정적인 보수로 지역정착 도모 대상 : 익산에 거주하는 만18세 ~ 39세 청년 중 관내 중소기업 동일 사업장에서 1년 이상 근무한 청년 주요내용 : 월 30만원씩 3년간 지급(1인당 최대 1,080만원)",전북,7011,익산형근로청년수당,공백 정리,공백 제거 후 문자열 동일
목적 :  저소득 근로 청년의 자산형성 지원을 통해 지역에서 안정적으로 경제 기반을 마련할 수 있는 환경을 조성하여 청년의 지역정착을 유도 대상 :  익산시에 거주하는 만18~39세 이하 근로중인 청년 주요내용 :  근로청년이 매월 일정금액을 적립하면 동일금액의 자립지원금을 시에서 매칭하여 3년 만기 시 자립기반 자금으로 활용,목적 : 저소득 근로 청년의 자산형성 지원을 통해 지역에서 안정적으로 경제 기반을 마련할 수 있는 환경을 조성하여 청년의 지역정착을 유도 대상 : 익산시에 거주하는 만18~39세 이하 근로중인 청년 주요내용 : 근로청년이 매월 일정금액을 적립하면 동일금액의 자립지원금을 시에서 매칭하여 3년 만기 시 자립기반 자금으로 활용,전북,7012,청년자산형성통장,공백 정리,공백 제거 후 문자열 동일
